Concept,CanonicalConnectors,CompositionalRole,DefaultLinkType,HostConcepts,WhyNotAFlatField
"Postal Address","OASIS CIQ xAL; schema:PostalAddress; vCard ADR","R1 Foundational Value-Object","EMBED","Person; Organization; Facility; Shipment; Invoice party","Multi-part, recurs everywhere, governed shape; flattening forks it"
"Personal Name","OASIS CIQ xNL; schema name parts; FOAF","R1 Foundational Value-Object","EMBED","Person; Patient; Author; Contact","Given/family/prefix/suffix travel together; ordering is culture-specific"
"Organization Name","OASIS CIQ xNL (org); schema:legalName","R1 Foundational Value-Object","EMBED","Organization; Supplier; Issuer","Legal vs trading vs display names are one structured unit"
"Contact Point","vCard; JSContact; schema:ContactPoint","R1 Foundational Value-Object","EMBED","Person; Organization; Support desk","Channel + value + purpose belong together"
"Monetary Amount","schema:MonetaryAmount; ISO 20022 amount","R1 Foundational Value-Object","EMBED","Invoice; Price; Salary; Transaction","An amount without its currency is meaningless"
"Quantity / Measure","QUDT QuantityValue; schema:QuantitativeValue","R1 Foundational Value-Object","EMBED","Product; Observation; Ingredient; Spec","A number without its unit is ambiguous"
"Geographic Point","GeoJSON Point; ISO 6709; geo:","R1 Foundational Value-Object","EMBED","Place; Asset; Event location","Lat/lon/CRS are one tuple"
"Geometry / Shape","GeoJSON; GML geometry","R1 Foundational Value-Object","EMBED","Parcel; Region; Route; Coverage","Coordinate arrays + CRS are a unit"
"Pose (position + orientation)","OGC GeoPose","R1 Foundational Value-Object","EMBED","Robot; Vehicle; AR anchor","Position and orientation co-define a frame"
"Temporal Interval / Instant","OWL-Time; ISO 8601 interval","R1 Foundational Value-Object","EMBED","Event; Contract term; Employment","Start/end/duration are interdependent"
"Phone Number","ITU-T E.164; vCard TEL","R1 Foundational Value-Object","EMBED","Contact; Person; Organization","Country code + number + type form one value"
"Bibliographic Reference","schema:CreativeWork; Dublin Core","R1 Foundational Value-Object","EMBED","Citation; Dataset; Document","Title/author/date/identifier cohere"
"Country","ISO 3166-1; OMG LCC; UN M49","R2 Reference Data / Code List","REFERENCE","nationality; jurisdiction; origin; place","Authority-maintained; a copied list drifts"
"Subdivision / Region","ISO 3166-2","R2 Reference Data / Code List","REFERENCE","Address region; jurisdiction","Same authority, changes over time"
"Language","ISO 639; BCP 47","R2 Reference Data / Code List","REFERENCE","i18n labels; content; preference","Tag space owned by a registry"
"Script","ISO 15924","R2 Reference Data / Code List","REFERENCE","Multilingual labels; transliteration","Closed code space"
"Currency","ISO 4217","R2 Reference Data / Code List","REFERENCE","Money; Price; Account","Codes + minor units maintained centrally"
"Units of Measure","UCUM; UN/CEFACT Rec 20; QUDT unit","R2 Reference Data / Code List","REFERENCE","Quantity; Observation; Spec","Computable unit grammar, not local strings"
"Product Classification","GS1 GPC; UNSPSC; eCl@ss","R2 Reference Data / Code List","REFERENCE","Product; Catalogue; Procurement","Large evolving taxonomies"
"Industry / Activity","NACE; ISIC; NAICS","R2 Reference Data / Code List","REFERENCE","Organization; Statistics; ESG","Official statistical classifications"
"Occupation / Skill","ESCO; O*NET","R2 Reference Data / Code List","REFERENCE","Employee; Job posting; CV","Maintained labour-market taxonomies"
"Clinical Concept","SNOMED CT; LOINC; ICD-11","R2 Reference Data / Code List","REFERENCE","Patient; Condition; Observation","Vast governed terminologies"
"Medication Concept","ATC; RxNorm; NDC","R2 Reference Data / Code List","REFERENCE","Medication; Prescription","Authority-curated drug codes"
"Packaging / Status Codes","UN/CEFACT Rec 21; Rec 24","R2 Reference Data / Code List","REFERENCE","Shipment; Consignment","Trade code lists"
"Legal Entity","ISO 17442 LEI","R3 Identifier Scheme","REFERENCE","Organization; Counterparty; Issuer","Global resolvable key; do not inline the entity"
"Security / Instrument","ISO 6166 ISIN; OMG FIGI","R3 Identifier Scheme","REFERENCE","Holding; Trade; Portfolio","Identifies an instrument entity"
"Bank Account / Institution","ISO 13616 IBAN; ISO 9362 BIC","R3 Identifier Scheme","REFERENCE","Payment; Settlement","Validated account/institution keys"
"Trade Item","GS1 GTIN","R3 Identifier Scheme","REFERENCE","Product; Order line; Inventory","Identifies a product entity"
"Party / Location (GS1)","GS1 GLN","R3 Identifier Scheme","REFERENCE","Ship-to; Supplier; Store","Resolvable location/party key"
"Researcher / Person ID","ORCID; ISO 27729 ISNI","R3 Identifier Scheme","REFERENCE","Author; Contributor; Reviewer","Disambiguates a person entity"
"Publication / Object ID","DOI; ISBN; ISSN; Handle","R3 Identifier Scheme","REFERENCE","Citation; Dataset; Serial","Persistent resolvable identifiers"
"Digital Identity","W3C DID","R3 Identifier Scheme","REFERENCE","Agent; Wallet; Universe; Issuer","Self-sovereign identifier; resolve to a document"
"Organization","schema:Organization; W3C ORG; FIBO Legal Entity","R4 Entity Model","REFERENCE","employer; supplier; issuer; owner","Shared entity; inlining yields stale copies"
"Person / Patient","schema:Person; FHIR Patient; FOAF","R4 Entity Model","REFERENCE","author; subject; contact; guardian","Independent identity and lifecycle"
"Place / Facility","schema:Place; GeoSPARQL Feature","R4 Entity Model","REFERENCE","location; site; jurisdiction","Referenced by many; governed externally"
"Product (as entity)","schema:Product; GS1 (via GTIN)","R4 Entity Model","REFERENCE","order line; listing; asset","Has its own catalogue lifecycle"
"Provenance","W3C PROV-O","R5 Cross-cutting Facet","MIX-IN","every Object","Who asserted it, when, derived from what - about the data"
"Valid-time / Temporal validity","OWL-Time; MU Lifecycle","R5 Cross-cutting Facet","MIX-IN","every versioned Object","Orthogonal to domain payload"
"Usage / Access Policy","W3C ODRL","R5 Cross-cutting Facet","MIX-IN","Contract; Projection; Dataset","Governs use, not content"
"Security / Classification Marking","data-classification labels","R5 Cross-cutting Facet","MIX-IN","any sensitive Object","Handling concern across domains"
"Multilingual Labels","SKOS-XL; RDF langString","R5 Cross-cutting Facet","MIX-IN","any labelled concept","Same concept, many languages"
"Meaning Annotation","SKOS concept; schema type","R5 Cross-cutting Facet","ANNOTATE","any Property","Fixes meaning without structure"
"Top-Level Ontology","BFO (ISO/IEC 21838-2); DOLCE","R7 Upper Ontology / Foundation","ALIGN","Meta-Model root types","Grounds domain types; aligned, not nested"
"Process / Plant Upper Model","ISO 15926 upper","R7 Upper Ontology / Foundation","ALIGN","Industrial/process domains","4D grounding; aligned, not nested"
"Logic Substrate","ISO/IEC 24707 Common Logic","R7 Upper Ontology / Foundation","ALIGN","Axiom interchange","Logic under ontologies; aligned, not nested"
